sexo,nombre,apellidos,partido,tipo_de_eleccion,entidad,distrito,circunscripcion,telefono,extension,correo_electronico,twitter,comisiones,bio,suplente_nombre,suplente_apellido
F,Alma Jeanny,Arroyo Ruiz,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,6,,,,,@Jeanny_arroyo,,,María de Lourdes ,Flores Treviño
M,Francisco Agustín,Arroyo Vieyra,Partido Revolucionario Institucional,Representación proporcional,Guanajuato,,2,,,,,,,Karina Yanet ,Ríos Ornelas
M,Antonio Francisco,Astiazarán Gutiérrez,Partido Revolucionario Institucional,Mayoría relativa,Sonora,4,,,,, @tonoastiazaran,,,Amparo ,Villanueva Cruz
M,Ricardo,Astudillo Suárez,Partido Verde Ecologista de México,Mayoría Relativa,Querétaro,2,,,,,,,,Alfio,Vega de la Peña
M,Kamel,Athie Flores,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,7,,,,,@KamelAthie,,,Teodoro,Arguijo Hernández
M,Enrique,Aubry de Castro Palomino,Partido Verde Ecologista de México,Mayoría Relativa,Jalisco,14,,,,,,,,Rocío ,Vázquez Hernández
M,Silvano,Aureoles Conejo,Partido de la Revolución Democrática,Mayoría Relativa,Michoacán,3,,,,,,,,Angela,Anchondo Rivera
M,José Angel,Ávila Pérez,Partido de la Revolución Democrática,Representación proporcional,Distrito Federal,,4,,,,,,,Luis Fernando ,Mancilla Fuentes
F,Flor de Rosa,Ayala Robles Linares,Partido Revolucionario Institucional,Representación proporcional,Sonora,,1,,,,@florayalar,,,Dunia Eliane,de la Vega Preciado
M,Xavier,Azuara Zúñiga,Partido Acción Nacional,Mayoría Relativa,San Luis Potosí,5,,,,,@XavierAzuaraSLP,,,Carmen Alicia,Vera Juárez
M,Darío,Badillo Ramírez,Partido Revolucionario Institucional,Mayoría relativa,Hidalgo,1,,,,,,,,Juan de Jesús,Hernández Ramírez
M,Salvador,Barajas del Toro,Partido Revolucionario Institucional,Mayoría Relativa,Jalisco,19,,,,,@Chava_Barajas_T,,,José Fred ,Guerrero Balanzar
M,Marco Antonio,Barba Mariscal,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,13,,,,,@marco_barba,,,Pedro,González Hinojosa
F,Delvim Fabiola,Bárcenas Nieves,Partido Revolucionario Institucional,Mayoría Relativa,Querétaro,1,,,,,@delvimdiputada,,,Joel,Miranda Martínez
F,Petra ,Barrera Barrera,Partido Revolucionario Institucional,Mayoría Relativa,Guanajuato,1,,,,,,,,Ricardo Janecarlo,Lozano Reynoso
M,Rodimiro,Barrera Estrada,Partido Revolucionario Institucional,Mayoría Relativa,Michoacán,1,,,,,,,,Mónica Patricia,Rojas Hernández
F,Laura,Barrera Fortoul,Partido Revolucionario Institucional,Mayoría relativa,México,27,,,,,@LauraBarreraF,,,José Cruz,Picazo Sánchez
M,Agustín,Barrios Gómez Segues,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,10,,,,,,,,Rafael,Guerrero Domínguez
M,Noé,Barrueta Barrón,Partido Revolucionario Institucional,Mayoría relativa,México,36,,,,,@noe_barrueta,,,Santos,Hinojosa López
M,Martí,Batres Guadarrama ,Partido de la Revolución Democrática,Representación proporcional,Distrito Federal,,4,,,,@martibatres,,,Erwin Francisco,Arriola Doroteo
F,Alliet Mariana,Bautista Bravo,Partido de la Revolución Democrática,Mayoría relativa,México,30,,,,,@Allietcandidata,,,Agustín,Palizada Valencia
F,Gloria,Bautista Cuevas,Partido de la Revolución Democrática,Mayoría relativa,Oaxaca,3,,,,,@gloriabautista7,,,Martha Ofelia ,Zamarripa Rivas
M,Víctor Manuel,Bautista López,Partido de la Revolución Democrática,Mayoría relativa,México,31,,,,,,,,Ana,Torres Landa Hernández
M,Óscar,Bautista Villegas,Partido Revolucionario Institucional,Mayoría Relativa,San Luis Potosí,3,,,,,@OscarBV3,,,Armando Tiófanes,Coutiño Núñez
M,Fernando,Belaunzarán Méndez ,Partido de la Revolución Democrática,Representación proporcional,Distrito Federal,,4,,,,,,,Juan Martín,Martínez Cuevas
M,Manlio Fabio,Beltrones Rivera,Partido Revolucionario Institucional,Representación proporcional,Sonora,,1,,,,@MFBeltrones,,,Erica,Hernández Cabrera
M,José Alberto,Benavides Castañeda,Partido del Trabajo,Mayoría Relativa,Distrito Federal,20,,,,,,,,Rebeca ,Peralta León
F,Sue Ellen,Bernal Bolnik,Partido Revolucionario Institucional,Mayoría Relativa,México,28,,,,,@Sue_Bernal ,,,Rebeca ,Peralta León
M,Andrés Marco Antonio,Bernal Gutierrez,Partido Revolucionario Institucional,Representación proporcional,Tamaulipas,,2,,,,@MarcoBernalG,,,Hugo,Sandoval Martínez
F,Landy Margarita ,Berzunza Novelo,Partido Revolucionario Institucional,Mayoría relativa,Campeche,1,,,,,@LandyBerzunza,,,Nury Delia,Ruiz Ovando
M,Silvano,Blanco de Aquino,Partido de la Revolución Democrática,Mayoría Relativa,Guerrero,3,,,,,,,,Fidel,Bazán Tenorio
F,Claudia Elizabeth,Bojórquez Javier,Partido de la Revolución Democrática,Mayoría relativa,Tabasco,1,,,,,@ClaudiaBojorque,,,Miguel Ángel ,Hernández Hernández
M,Adolfo,Bonilla Gómez,Partido Revolucionario Institucional,Mayoría Relativa,Zacatecas,1,,,,,@fitobonilla,,,Sandra Areli ,Barrón Martínez
F,Juana,Bonilla Jaime,Partido de la Revolución Democrática,Representación proporcional,México,,5,,,,,,,Gerardo David,Rodríguez López
M,Jaime,Bonilla Valdez ,Partido del Trabajo,Representación proporcional,Baja California,,1,,,,,,,Diana Paulina,Osorio Moreno
M,Omar Antonio,Borboa Becerra,Partido Acción Nacional,Mayoría Relativa,Jalisco,10,,,,,,,,Alicia Guadalupe,Gamboa Martínez
F,Teresita de Jesús,Borges Pasos ,Partido de la Revolución Democrática,Representación proporcional,Yucatán,,3,,,,,,,Jaqueline ,del Río López
M,José Alfredo,Botello Montes,Partido Acción Nacional,Representación proporcional,Querétaro,,2,,,,,,,Luis Alfredo ,Valles Mendoza
M,Fernando,Bribiesca Sahagún ,Nueva Alianza,Representación proporcional,Guanajuato,,2,,,,,,,Eduardo ,Solís Nogueira
M,Tomás,Brito Lara,Partido de la Revolución Democrática,Mayoría relativa,Tabasco,2,,,,,,,,Ma. Matilde,Martínez Orta
M,Juan,Bueno Torio,Partido Acción Nacional,Representación proporcional,Veracruz,,3,,,,@juanbuenot,,,Brisa Esmeralda,Céspedes Ramos
M,José Angelino,Caamal Mena ,Nueva Alianza,Representación proporcional,Campeche,,3,,,,,,,Melania,Reynoso Navarro
M,Benito,Caballero Garza,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,2,,,,,,,,Virgina ,Barajas Monjarás
M,Joaquín,Caballero Rosiñol,Partido Revolucionario Institucional,Mayoría Relativa,Veracruz,11,,,,,,,,Viridiana Lizette,Espino Cano
F,María Elia ,Cabañas Aparicio ,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,4,,,,,,,,Matilde Alejandra ,Rosas Escobar
M,Juan Francisco,Cáceres de la Fuente,Partido Acción Nacional,Representación proporcional,Tabasco,,3,,,,,,,Norma Elena ,Rangel Pacheco
F,Leticia,Calderón Ramírez,Partido Revolucionario Institucional,Representación proporcional,México,,5,,,,@LetiCalderonR,,,,
M,Marco Antonio,Calzada Arroyo,Partido Revolucionario Institucional,Mayoría relativa,México,8,,,,,@Marco_Calzada,,,Verónica,González Gómez
M,Felipe Arturo,Camarena García,Partido Verde Ecologista de México,Mayoría Relativa,Guanajuato,12,,,,,,,,Ma. Patricia,Alonso Mata
M,Rubén,Camarillo Ortega,Partido Acción Nacional,Representación proporcional,Aguascalientes,,2,,,,,,,Yatziri,Mendoza Jiménez
M,Lisando Arístides,Campos Córdova,Partido Revolucionario Institucional,Mayoría relativa,Puebla,16,,,,,,,,Concepción,Flores Pérez
F,María Elena,Cano Ayala,Partido Revolucionario Institucional,Representación proporcional,Guanajuato,,2,,,,,,,Fernando ,Olivares Ramos
M,Ricardo,Cantú Garza ,Partido del Trabajo,Representación proporcional,México,,5,,,,,,,Maribel,Serrano Domínguez
M,Eloy,Cantú Segovia,Partido Revolucionario Institucional,Representación proporcional,Nuevo León,,2,,,,@EloyCantuS,,,Ignacio ,Ramírez Juárez
M,Alejandro ,Carbajal González,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,8,,,,,,,,José,Adán Abellaneda
M,Juan Manuel,Carbajal Hernándes,Partido Revolucionario Institucional,Mayoría relativa,México,33,,,,,@JMCarbajalH,,,Eduardo Enrique,Domínguez Maganda
F,Miriam,Cárdenas Cantú,Partido Revolucionario Institucional,Representación proporcional,Coahuila,,2,,,,@MiriamCardenasC,,,Arturo,López Sugia
M,Enrique,Cárdenas del Avellano,Partido Revolucionario Institucional,Mayoría relativa,Tamaulipas,5,,,,,@cardenasenrique,,,Roberto,Cabrera Solís
M,Gabriel,Cárdenas Guízar,Partido Acción Nacional,Mayoría relativa,Veracruz,17,,,,,@CardenasGabriel,,,José,Higuera Fuentes
F,Purificación,Carpinteyro Calderón,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,22,,,,,,,,,
F,Angelina,Carreño Mijares,Partido Revolucionario Institucional,Mayoría relativa,México,4,,,,,@AngelinaCM_,,,Víctor Efigenio,Martín Cristóbal
M,Genaro,Carreño Muro,Partido Acción Nacional,Mayoría Relativa,Guanajuato,8,,,,,@Genaro_Carreno,,,Manuel Francisco,Tapia Bustos
F,Verónica,Carreón Cervantes,Partido Revolucionario Institucional,Mayoría Relativa,Veracruz,7,,,,,,,,Amanda,García García
M,Mario Miguel,Carrillo Huerta,Partido de la Revolución Democrática,Mayoría relativa,Distrito Federal,16,,,,,@mariocarrillomx,,,José Luis,González León
M,Carlos Humberto,Castaños Valenzuela,Partido Acción Nacional,Representación proporcional,Sinaloa,,1,,,,@carloscastanos,,,Rosa Guadalupe,Chávez Acosta
F,Minerva,Castillo Rodríguez,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,6,,,,,@MinervaCR1,,,Rocío,Ruiz de la Barrera
M,Benjamín ,Castillo Valdez,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,1,,,,,,,,Alicia Asunción,Grande Olguín
M,Fernando Jorge,Castro Trenti,Partido Revolucionario Institucional,Representación proporcional,Baja California,,1,,,,@SenCastroTrenti ,,,Erika,Gómez Lozada
M,Ángel,Cedillo Hernández ,Partido de la Revolución Democrática,Representación proporcional,México,,5,,,,,,,Lázaro,Vera Jiménez
F,María Sanjuana,Cerda Franco ,Nueva Alianza,Representación proporcional,Nuevo León,,2,,,,,,,José de Jesús,González Curiel
F,María del Socorro,Ceseñas Chapa,Partido de la Revolución Democrática,Representación proporcional,Nuevo León,,2,,,,,,,José,Soto González
M,Sergio Augusto ,Chan Lugo,Partido Acción Nacional,Representación proporcional,Yucatán,,3,,,,,,,Lisandra,Ruiz Torres
M,Fernando,Charleston Hernández,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,9,,,,,@fercharleston,,,José Daniel,Ochoa Casillas
M,Sergio,Chávez Dávalos,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,7,,,,,@SergioChavez_D,,,Gildardo,Sánchez González
M,Armando,Contreras Ceballos,Partido de la Revolución Democrática,Mayoría Relativa ,Michoacán,2,,,,,,,,Sharon,Rodríguez de la Cruz
F,Yazmín de los Angeles,Copete Zapot,Partido de la Revolución Democrática,Representación proporcional,Veracruz,,3,,,,,,,María Esther,Gutiérrez Olivares
F,Martha Beatriz,Córdova Bernal ,Movimiento Ciudadano,Representación proporcional,Chihuahua,,1,,,,,,,Álvaro,Martínez García
M,Luis Armando,Córdova Díaz,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,16,,,,,,,,Lucía,Reynoso Castellanos
F,Frine Soraya,Córdova Morán,Partido Revolucionario Institucional,Representación proporcional,Puebla,,4,,,,,,,Carlos Bernardo,Guzmán Cervantes
F,María del Rocío,Corona Nakamura,Partido Revolucionario Institucional,Representación proporcional,Jalisco,,1,,,,@RocioCoronaNkm,,,Norma Elizabeth,Chávez Arias
M,Alberto,Coronado Quintanilla,Partido Acción Nacional,Mayoría Relativa,Nuevo León,6,,,,,@Coronadomx,,,Mariana Guadalupe,Flores Álvarez
M,José Francisco,Coronato Rodríguez,Movimiento Ciudadano,Mayoría relativa,Morelos,1,,,,,,,,Jeanette,Velázquez Sedano
F,Francisca Elena,Corrales Corrales,Partido Revolucionario Institucional,Mayoría relativa,Sinaloa,6,,,,,@paquiscorrales,,,Alonso,Barajas Ortíz
M,Gerardo Maximiliano,Cortázar Lara,Partido Acción Nacional,Representación proporcional,Distrito Federal,,4,,,,,,,Luis Armando,Córdova Díaz
M,Isaías,Cortés Berumen,Partido Acción Nacional,Representación proporcional,Jalisco,,1,,,,@Isaias_Cortes,,,Liliana Guadalupe,Morones Vargas
F,Eufrosina ,Cruz Mendoza,Partido Acción Nacional,Representación proporcional,Oaxaca,,3,,,,,,,Rosana Guadalupe,Salcedo Díaz
F,Maricruz,Cruz Morales,Partido Revolucionario Institucional,Representación proporcional,México,,5,,,,,,,Ignacio,Mestas Gallardo
M,Arturo,Cruz Ramírez,Partido de la Revolución Democrática,Mayoría relativa,México,32,,,,,,,,Juan Manuel,Rubio Pérez
M,Fernando ,Cuellar Reyes,Partido de la Revolución Democrática,Mayoría Relativa ,Distrito Federal,3,,,,,,,,Marisol,González Torres
M,Antonio,Cuéllar Steffan,Partido Verde Ecologista de México,Representación proporcional,Aguascalientes,,2,,,,,,,Marisol,Cano López
M,Mario Alejandro,Cuevas Mena,Partido de la Revolución Democrática,Representación proporcional,Yucatán,,3,,,,,,,Ana María,Chimal Velasco
M,Alberto,Curi Naime,Partido Revolucionario Institucional,Mayoría relativa,México,34,,,,,@AlbertoCuri,,,Elizabeth,Flores Vázquez
M,Mario Alberto,Dávila Delgado,Partido Acción Nacional,Mayoría relativa,Coahuila,3,,,,,@mario_dipancoah,,,Marisol,Morales Fernández
M,Carlos,de Jesús Alejandro,Partido de la Revolución Democrática,Mayoría relativa,Guerrero,6,,,,,,,,Humberto,González Gaistardo
F,Rosalba,de la Cruz Requena,Partido Revolucionario Institucional,Mayoría relativa,Tamaulipas,6,,,,,@Rosalbasextodis,,,Gloria María del Carmen,Valencia González
M,Andrés ,de la Rosa Anaya,Partido Acción Nacional,Representación proporcional,Baja California,,1,,,,,,,Ana María,Roth González
M,Arturo ,De La Rosa Escalante,Partido Acción Nacional,Mayoría Relativa,Baja California Sur,2,,,,,@arturodelarosa_ ,,,Leticia,García Mejía
M,Sebastián Alfonso,de la Rosa Pelaéz,Partido de la Revolución Democrática,Mayoría Relativa,Guerrero,8,,,,,,,,Lucía Cristal,Santiago Martínez
M,Jorge Federico,de la Vega Membrillo,Partido de la Revolución Democrática,Mayoría relativa,México,38,,,,,,,,Irere,Sánchez Balderas
M,Fernando Donato,de las Fuentes Hernández,Partido Revolucionario Institucional,Mayoría relativa,Coahuila,4,,,,,,,,María Guadalupe,Ayala Bravo
M,Jorge,del Angel Acosta,Partido Revolucionario Institucional,Representación proporcional,Veracruz,,3,,,,,,,Giuliana Guadalupe,Quiroz Ávila
F,Paulina Alejandra,del Moral Vega,Partido Revolucionario Institucional,Mayoría relativa,México,7,,,,,@AlejandraDMV,,,María del Carmen,Guzmán Urban
F,Claudia,Delgadillo González,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,11,,,,,@ClauDelgadillo1,,,Víctor,Sánchez Guerrero
M,Antonio De Jesús ,Díaz Athié,Partido Revolucionario Institucional,Mayoría relativa,Chiapas,12,,,,,@aDiazAthie ,,,Magdalena,Saavedra Villagrán
M,Víctor Emanuel,Díaz Palacios,Partido Revolucionario Institucional,Mayoría relativa,Puebla,3,,,,,@victordoficial,,,Eufemia,Guzmán García
M,Alberto,Díaz Trujillo,Partido Acción Nacional,Mayoría Relativa,México,15,,,,,@betodiazt ,,,Silvana,Ortíz Ortega
F,Eva,Diego Cruz,Partido Revolución Democrática,Mayoría relativa,Oaxaca,4,,,,,,,,Nadya de Jesús,Cruz Serrano
M,Juan Manuel,Diez Francos,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,15,,,,,@juanmanuel10f,,,Alejandra,Gutu Deskens
M,José Enrique,Doger Guerrero,Partido Revolucionario Institucional,Mayoría relativa,Puebla,6,,,,,@EnriqueDogerPue,,,Maribel,Martínez Altamirano
M,Pedro Ignacio ,Domínguez Zepeda,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,8,,,,,@Pedro_Dgz,,,Karina,Kelly Sánchez
M,Rodolfo ,Dorador Pérez Gavilán,Partido Acción Nacional,Representación proporcional,Durango,,1,,,,@Dorador1 ,,,María Luilia,Rebollo Cuéllar
M,José Ignacio ,Duarte Murillo,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,2,,,,,@Nacho_Duarte_,,,Minerva Marisol,Sánchez Hernández
M,Catalino,Duarte Ortuño,Partido de la Revolución Democrática,Mayoría relativa,Guerrero,1,,,,,@catalino_duarte,,,Shantall,Zepeda Escobar
M,Francisco Alfonso,Durazo Montaño ,Movimiento Ciudadano,Representación proporcional,Sonora,,1,,,,,,,Lizeth Marlenne,Sandoval Colindres
F,Irma ,Elizondo Ramírez,Partido Revolucionario Institucional,Mayoría relativa,Coahuila,1,,,,,@PRImeroIRMA,,,María Gabriela,Bardales Hernández
M,José Rubén ,Escajeda Jiménez,Partido Revolucionario Institucional,Mayoría relativa,Durango,3,,,,,@ruben_escajeda,,,Rodrigo,Rosas Esparza
M,Arturo,Escobar y Vega,Partido Verde Ecologista de México,Representación proporcional,Distrito Federal,,4,,,,,,,Elizabeth,Vázquez Hernández
M,Luis Ángel Xariel,Espinosa Cházaro,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,11,,,,,,,,Francisco Antonio Eduardo,Mora Molina
M,José Luis,Esquivel Zalpa,Partido de la Revolución Democrática,Mayoría Relativa,Michoacán,7,,,,,,,,Jorge Luis,Núñez Sabino
M,Faustino Francisco,Félix Chávez,Partido Revolucionario Institucional,Mayoría relativa,Sonora,6,,,,, @FaustinoFelix,,,Maricruz,Reyes Galicia
M,Rubén Benjamín,Félix Hays ,Nueva Alianza,Representación proporcional,Sinaloa,,1,,,,,,,Verónica,González Vera
M,Francisco Javier,Fernández Clamont,Partido Revolucionario Institucional,Mayoría relativa,México,37,,,,,,,,Alicia,Hernández Monroy
M,Julio César,Flemate Ramírez,Partido Revolucionario Institucional,Mayoría Relativa,Zacatecas,2,,,,,@JFlemate,,,María Guadalupe,Jaramillo Villa
M,Uriel,Flores Aguayo,Partido de la Revolución Democrática,Mayoría relativa,Veracruz,10,,,,,,,,Teresita de Jesús,Ramírez Hernández
M,Enrique Alejandro,Flores Flores,Partido Acción Nacional,Representación proporcional,San Luis Potosí,,2,,,,@enriqueflores21,,,Adrián,Hernández Romero
M,José Luis Cruz,Flores Gómez,Partido Revolucionario Institucional,Mayoría relativa,México,10,,,,,@JL_FloresG,,,Lizbeth,González Pérez
M,José Luis,Flores Méndez,Partido Revolucionario Institucional,Mayoría relativa,Coahuila,2,,,,,@FloresMendezJL,,,Leazly Laura,Villar Gómez
F,Guadalupe Socorro,Flores Salazar,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,27,,,,,,,,Lucía,Sandoval Rentería
M,Patricio,Flores Sandoval,Partido Revolucionario Institucional,Representación proporcional,Jalisco,,1,,,,,,,Mario César,Gaona García
M,Juan Manuel,Fócil Pérez,Partido de la Revolución Democrática,Representación proporcional,Tabasco,,3,,,,@jmfocil,,,Jesús Antonio,Mora González
M,Víctor Osvaldo,Fuentes Solís,Partido Acción Nacional,Mayoría Relativa,Nuevo León,4,,,,,@victorfuentesmx ,,,Alejandra,García Gutiérrez
F,Adriana,Fuentes Téllez,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,1,,,,,,,,Luis,Tapia Hernández
M,René Ricardo,Fujiwara Montelongo ,Nueva Alianza,Representación proporcional,Distrito Federal,,4,,,,@renefuji,,,Doroteo,Macías Contreras
F,Erika Yolanda,Funes Velázquez,Partido Revolucionario Institucional,Representación proporcional,México,,5,,,,,,,Genaro,Hernández Sánchez
M,David Cuauhtémoc,Galindo Delgado,Partido Acción Nacional,Mayoría relativa,Sonora,2,,,,,,,,Miroslava,Meza Virrueta
M,Heriberto Manuel,Galindo Quiñones,Partido Revolucionario Institucional,Representación proporcional,Sinaloa,,1,,,,@HGalindoQ,,,Jonathán,Sanata González
M,Raúl Santos,Galván Villanueva,Partido Revolucionario Institucional,Representación proporcional,Sinaloa,,1,,,,,,,Araceli,Saucedo Reyes
F,Lizbeth Loy,Gamboa Song,Partido Revolucionario Institucional,Representación proporcional,Quintana Roo,,3,,,,@Liz_Gamboa,,,René,Valencia Reyes
F,Marina,Garay Cabada,Partido Revolucionario Institucional,Mayoría Relativa,Veracruz,19,,,,,@MarinaCercaDeTi,,,Eduardo,Morán Izaguirre
M,Antonio,García Conejo,Partido de la Revolución Democrática,Mayoría Relativa,Michoacán,11,,,,,,,,Jorge,Evangelista Acosta
F,María del Carmen,García de la Cadena Romero,Partido Revolucionario Institucional,Mayoría relativa,Puebla,15,,,,,@MariCarmenTehua,,,José Anselmo Vicente ,Muñoz Bisoso
F,Mónica,García de la Fuente,Partido Verde Ecologista de México,Representación proporcional,Aguascalientes,,2,,,,,,,Felipe,Pérez Ramírez
F,María de las Nieves,García Fernández,Partido Revolucionario Institucional,Representación proporcional,Oaxaca,,3,,,,,,,Hipólito,Galarza Urzúa
M,Héctor,García García,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,11,,,,,@LicHectorGarcia,,,Diego Cristóbal,Calderón Estrada
M,Carlos Alberto,García González,Partido Acción Nacional,Mayoría relativa,Tamaulipas,4,,,,,,,,Ángel Alain,Aldrete Lamas
F,Josefina,García Hernández,Partido Revolucionario Institucional,Mayoría relativa,Puebla,4,,,,,,,,Mónica Selene,Saldaña Tapia
F,Amalia Dolores,García Medina ,Partido de la Revolución Democrática,Representación proporcional,Distrito Federal,,4,,,,,,,Erick Gerardo,Treviño Lozano
